Province_State,Admin2,Population,Lat,Long
Alabama,Autauga,55869,32.53952745,-86.64408227
Alabama,Baldwin,223234,30.72774991,-87.72207058
Alabama,Barbour,24686,31.868263,-85.3871286
Alabama,Bibb,22394,32.99642064,-87.12511459999996
Alabama,Blount,57826,33.98210918,-86.56790593
Alabama,Bullock,10101,32.10030533,-85.71265535
Alabama,Butler,19448,31.75300095,-86.68057478
Alabama,Calhoun,113605,33.77483727,-85.82630386
Alabama,Chambers,33254,32.91360079,-85.39072749
Alabama,Cherokee,26196,34.17805983,-85.60638968
Alabama,Chilton,44428,32.85044126,-86.7173256
Alabama,Choctaw,12589,32.02227341,-88.26564429999998
Alabama,Clarke,23622,31.68099859,-87.83548597
Alabama,Clay,13235,33.26984193,-85.85836077
Alabama,Cleburne,14910,33.67679204,-85.52005899
Alabama,Coffee,52342,31.39932826,-85.98901039
Alabama,Colbert,55241,34.69847452,-87.80168544
Alabama,Conecuh,12067,31.43401703,-86.99320044
Alabama,Coosa,10663,32.93690146,-86.24847739
Alabama,Covington,37049,31.2477854,-86.45050893
Alabama,Crenshaw,13772,31.72941803,-86.31593104
Alabama,Cullman,83768,34.13020303,-86.86888037
Alabama,Dale,49172,31.43037123,-85.61095742
Alabama,Dallas,37196,32.32688101,-87.10866709999998
Alabama,DeKalb,71513,34.45946862,-85.80782906
Alabama,Elmore,81209,32.59785413,-86.14415284
Alabama,Escambia,36633,31.1256789,-87.15918694
Alabama,Etowah,102268,34.04567266,-86.04051873
Alabama,Fayette,16302,33.72076938,-87.73886638
Alabama,Franklin,31362,34.44235334,-87.84289505
Alabama,Geneva,26271,31.09389027,-85.83572839
Alabama,Greene,8111,32.85504247,-87.95684022
Alabama,Hale,14651,32.76039258,-87.63284988
Alabama,Henry,17205,31.51148016,-85.24267944
Alabama,Houston,105882,31.15197924,-85.29939599
Alabama,Jackson,51626,34.78144169,-85.99750489
Alabama,Jefferson,658573,33.55554728,-86.89506300000002
Alabama,Lamar,13805,33.77995024,-88.09668032
Alabama,Lauderdale,92729,34.90171875,-87.65624729
Alabama,Lawrence,32924,34.52041498,-87.31069453
Alabama,Lee,164542,32.60154883,-85.35132246
Alabama,Limestone,98915,34.81185586,-86.98310072
Alabama,Lowndes,9726,32.1597283,-86.65158371
Alabama,Macon,18068,32.38759944,-85.69267724
Alabama,Madison,372909,34.76327133,-86.55069633
Alabama,Marengo,18863,32.24767634,-87.78796182
Alabama,Marion,29709,34.13697363,-87.88704173
Alabama,Marshall,96774,34.36975964,-86.30486727
Alabama,Mobile,413210,30.78472347,-88.20842409
Alabama,Monroe,20733,31.56729412,-87.36995001
Alabama,Montgomery,226486,32.2206831,-86.20969272
Alabama,Morgan,119679,34.45500589,-86.85475946
Alabama,Out of AL,0,0.0,0.0
Alabama,Perry,8923,32.64048341,-87.29770589
Alabama,Pickens,19930,33.28094866,-88.08818103
Alabama,Pike,33114,31.80396383,-85.9408295
Alabama,Randolph,22722,33.29526734,-85.45708831
Alabama,Russell,57961,32.28725256,-85.18415324
Alabama,Shelby,217702,33.26879845,-86.66232561
Alabama,St. Clair,89512,33.71902176,-86.31029372
Alabama,Sumter,12427,32.59117397,-88.19916205
Alabama,Talladega,79978,33.37823223,-86.16886178
Alabama,Tallapoosa,40367,32.86698258,-85.79833053
Alabama,Tuscaloosa,209355,33.28726072,-87.52556818
Alabama,Unassigned,0,0.0,0.0
Alabama,Walker,63521,33.80270512,-87.30027177
Alabama,Washington,16326,31.4092794,-88.20689944
Alabama,Wilcox,10373,31.98773215,-87.30891118
Alabama,Winston,23629,34.15030532,-87.37325922
Alaska,Aleutians East,3337,55.32222414,-161.9722021
Alaska,Aleutians West,5634,52.3233,-174.1596
Alaska,Anchorage,288000,61.14998174,-149.14269860000005
Alaska,Bethel,18386,60.90980451,-159.8561831
Alaska,Bristol Bay,836,58.74513976,-156.701064
Alaska,Bristol Bay plus Lake and Peninsula,1592,58.62403337,-156.21405890000003
Alaska,Chugach,6751,61.16666,-149.9
Alaska,Copper River,2699,60.3886,-162.8905196
Alaska,Denali,2097,63.67264044,-150.0076108
Alaska,Dillingham,4916,59.79603738,-158.23819419999995
Alaska,Fairbanks North Star,96849,64.80726247,-146.5692662
Alaska,Haines,2530,59.09893571,-135.4679843
Alaska,Hoonah-Angoon,2148,58.29307365,-135.64244240000002
Alaska,Juneau,31974,58.45031811,-134.200436
Alaska,Kenai Peninsula,58708,60.24429722,-151.53888840000005
Alaska,Ketchikan Gateway,13901,55.57445008,-130.975561
Alaska,Kodiak Island,12998,57.65529415,-153.7493579
Alaska,Kusilvak,8314,62.15429159999999,-163.39678830000005
Alaska,Matanuska-Susitna,108317,62.31305045,-149.5741743
Alaska,Nome,10004,64.90320724,-164.0353804
Alaska,North Slope,9832,69.31479216,-153.4836093
Alaska,Northwest Arctic,7621,67.04919196,-159.7503946
Alaska,Out of AK,0,0.0,0.0
Alaska,Petersburg,3266,57.13978948,-132.9540995
Alaska,Prince of Wales-Hyder,6203,55.76261984,-133.0511621
Alaska,Sitka,8493,57.24124555,-135.3206587
Alaska,Skagway,1183,59.56149996,-135.3337748
Alaska,Southeast Fairbanks,6893,63.87692095,-143.2127643
Alaska,Unassigned,0,0.0,0.0
Alaska,Valdez-Cordova,9202,61.47502768,-144.7126799
Alaska,Wrangell,2502,56.3202004,-132.05837309999998
Alaska,Yakutat,579,59.8909808,-140.36014509999998
Alaska,Yukon-Koyukuk,5230,65.50815459,-151.3907387
American Samoa,,55641,-14.271,-170.132
Arizona,Apache,71887,35.39465006,-109.4892383
Arizona,Cochise,125922,31.87934684,-109.7516088
Arizona,Coconino,143476,35.83883429,-111.7707178
Arizona,Gila,54018,33.80190085,-110.8132779
Arizona,Graham,38837,32.93166885,-109.8882178
Arizona,Greenlee,9498,33.21498827,-109.2405279
Arizona,La Paz,21108,33.72854224,-113.9810029
Arizona,Maricopa,4485414,33.34835867,-112.4918154
Arizona,Mohave,212181,35.70471703,-113.7577902
Arizona,Navajo,110924,35.3997715,-110.3218983
Arizona,Out of AZ,0,0.0,0.0
Arizona,Pima,1047279,32.0971334,-111.7890033
Arizona,Pinal,462789,32.90525627,-111.3449483
Arizona,Santa Cruz,46498,31.52508998,-110.8479088
Arizona,Unassigned,0,0.0,0.0
Arizona,Yavapai,235099,34.59933926,-112.5538588
Arizona,Yuma,213787,32.76895712,-113.90666740000002
Arkansas,Arkansas,17486,34.29145151,-91.37277296
Arkansas,Ashley,19657,33.19153461,-91.7698471
Arkansas,Baxter,41932,36.28784385,-92.33782872
Arkansas,Benton,279141,36.33644656,-94.25680817
Arkansas,Boone,37432,36.3084504,-93.09374925
